X(mm),Y(mm)
1000,0
995.53626,0.06943
988.89372,0.27162
980.10329,0.64856
969.20563,1.24213
956.25086,2.08987
941.29813,3.22376
924.41513,4.66929
905.67763,6.44498
885.16885,8.5616
862.97898,11.0221
839.20456,13.82104
813.94795,16.94482
787.31676,20.37157
759.42338,24.07136
730.38445,28.00672
700.32045,32.13295
669.35529,36.39886
637.616,40.74746
605.23235,45.11683
572.33661,49.44101
539.06334,53.6511
505.54911,57.67623
471.93236,61.44472
438.35315,64.88519
404.95303,67.92774
371.87479,70.50506
339.26229,72.55356
307.26022,74.01437
276.01389,74.83438
245.66898,74.96701
216.3714,74.37301
188.26716,73.02137
161.50235,70.88958
136.2235,67.96367
112.57818,64.23948
90.71652,59.7218
70.79358,54.42629
52.97393,48.38031
37.43803,41.63
24.39101,34.25469
14.06518,26.40602
6.6808,18.39319
2.27441,10.79997
0.38317,4.44327
0,0
0.38317,-4.44327
2.27441,-10.79997
6.6808,-18.39319
14.06518,-26.40602
24.39101,-34.25469
37.43803,-41.63
52.97393,-48.38031
70.79358,-54.42629
90.71652,-59.7218
112.57818,-64.23948
136.2235,-67.96367
161.50235,-70.88958
188.26716,-73.02137
216.3714,-74.37301
245.66898,-74.96701
276.01389,-74.83438
307.26022,-74.01437
339.26229,-72.55356
371.87479,-70.50506
404.95303,-67.92774
438.35315,-64.88519
471.93236,-61.44472
505.54911,-57.67623
539.06334,-53.6511
572.33661,-49.44101
605.23235,-45.11683
637.616,-40.74746
669.35529,-36.39886
700.32045,-32.13295
730.38445,-28.00672
759.42338,-24.07136
787.31676,-20.37157
813.94795,-16.94482
839.20456,-13.82104
862.97898,-11.0221
885.16885,-8.5616
905.67763,-6.44498
924.41513,-4.66929
941.29813,-3.22376
956.25086,-2.08987
969.20563,-1.24213
980.10329,-0.64856
988.89372,-0.27162
995.53626,-0.06943
1000,0
,
Camber line,
X(mm),Y(mm)
0,0
0.38317,0
2.27441,0
6.6808,0
14.06518,0
24.39101,0
37.43803,0
52.97393,0
70.79358,0
90.71652,0
112.57818,0
136.2235,0
161.50235,0
188.26716,0
216.3714,0
245.66898,0
276.01389,0
307.26022,0
339.26229,0
371.87479,0
404.95303,0
438.35315,0
471.93236,0
505.54911,0
539.06334,0
572.33661,0
605.23235,0
637.616,0
669.35529,0
700.32045,0
730.38445,0
759.42338,0
787.31676,0
813.94795,0
839.20456,0
862.97898,0
885.16885,0
905.67763,0
924.41513,0
941.29813,0
956.25086,0
969.20563,0
980.10329,0
988.89372,0
995.53626,0
1000,0
